date,open,symbol,last,close,high,vol,low
2020-05-29,95.35,AXP,95.065,98.06,97.05,7711888.0,94.95
2020-06-01,95.04,AXP,96.9,95.07,98.05,4272832.0,94.76
2020-06-02,95.56,AXP,100.04,96.75,100.42,5433811.0,94.56
2020-06-03,99.475,AXP,,101.075,,7301046.0,
2020-06-04,103.39,AXP,106.45,105.4,107.42,5841610.0,103.39
2020-06-05,103.47,AXP,109.55,106.54,115.86,10097634.0,103.23
2020-06-08,112.0,AXP,113.16,109.73,113.56,6795230.0,110.74
2020-06-09,111.91,AXP,110.685,113.67,113.71,5517423.0,108.71
2020-06-10,110.08,AXP,110.46,113.67,111.79799999999999,5747397.0,108.67
2020-06-11,100.09,AXP,,98.61,102.82,8601195.0,98.15
2020-06-12,98.57,AXP,,101.57,103.3,7251105.0,98.295
2020-06-15,102.74,AXP,103.265,103.69,104.74,6478926.0,97.66
2020-06-16,100.0,AXP,107.49,105.14,111.62,6710620.0,97.62
2020-06-17,109.02,AXP,104.12,105.62,109.06,4408202.0,102.855
2020-06-18,105.67,AXP,101.99,103.96,106.12,3645733.0,101.33
2020-06-19,102.14,AXP,101.35,102.16,104.1,7589463.0,99.41
2020-06-22,98.39,AXP,99.5,100.94,100.475,4799863.0,98.33
2020-06-23,98.0,AXP,99.49,99.44,101.605,4364753.0,97.95
2020-06-24,100.94,AXP,95.79,99.42,101.6475,5958264.0,95.0
2020-06-25,97.65,AXP,97.735,95.48,98.27,5195380.0,93.85
2020-06-26,94.61,AXP,93.285,97.85,98.12,10489370.0,92.48
2020-06-29,93.71,AXP,94.03,93.42,95.395,4962408.0,93.365
2020-06-30,94.44,AXP,95.31,94.52,95.58,4367083.0,93.34
2020-07-01,94.16,AXP,94.175,95.2,96.855,3301022.0,93.5656
2020-07-02,95.25,AXP,94.0,94.05,97.23,4239747.0,93.64
2020-07-06,96.51,AXP,96.54,94.33,97.77,4059607.0,95.875
2020-07-07,96.51,AXP,92.85,96.58,97.9,5564231.0,92.63
2020-07-08,95.44,AXP,93.085,93.01,95.52,6382098.0,90.715
2020-07-09,91.97,AXP,90.54,92.9,93.1,4484524.0,89.61
2020-07-10,92.51,AXP,92.995,90.57,93.3,4400854.0,89.58
