date,open,symbol,last,close,high,vol,low
2020-06-02,116.0,PG,117.39,117.25,118.0,6327940.0,115.26
2020-06-03,117.025,PG,,117.89,,6170999.0,
2020-06-04,118.05,PG,116.01,118.53,118.78,6895854.0,115.58
2020-06-05,118.0,PG,118.35,116.05,118.83,7337829.0,115.57
2020-06-08,117.24,PG,119.12,118.33,119.12,6926693.0,117.06
2020-06-09,117.44,PG,118.27,119.05,119.75,5563215.0,116.84
2020-06-10,119.4,PG,118.34,119.05,119.76,6678195.0,118.15
2020-06-11,118.775,PG,,116.265,119.51,8937510.0,116.025
2020-06-12,116.265,PG,,115.62,118.04,7998614.0,115.315
2020-06-15,114.51,PG,116.7,116.7,117.28,8787028.0,113.78
2020-06-16,114.55,PG,118.14,118.14,118.96,8167289.0,113.76
2020-06-17,118.14,PG,117.985,118.13,119.09,6321110.0,117.455
2020-06-18,118.39,PG,119.24,117.93,119.955,6274391.0,117.38
2020-06-19,117.46,PG,119.085,119.28,121.82,17489809.0,117.37
2020-06-22,118.61,PG,117.735,118.92,119.06,5695640.0,117.345
2020-06-23,118.78,PG,117.77,117.75,119.19,5340538.0,117.34
2020-06-24,118.67,PG,116.43,117.73,119.19,6547849.0,116.3
2020-06-25,117.22,PG,117.91,116.42,118.0,5489336.0,116.025
2020-06-26,116.99,PG,115.13,117.89,118.46,23201706.0,115.12
2020-06-29,116.795,PG,117.35,115.23,118.04,6866923.0,116.71
2020-06-30,116.51,PG,119.59,117.66,119.945,7818122.0,116.35
2020-07-01,117.97,PG,120.045,119.57,120.37,6501237.0,117.8
2020-07-02,119.65,PG,120.86,119.98,122.495,6150890.0,118.9
2020-07-06,121.88,PG,121.435,120.88,122.36,6023276.0,120.875
2020-07-07,121.77,PG,121.08,121.63,123.24,6866456.0,120.88
2020-07-08,121.3,PG,123.135,122.22,123.25,6494002.0,120.89
2020-07-09,122.15,PG,122.295,122.89,123.97,5341048.0,121.87
2020-07-10,122.82,PG,124.16,122.48,124.42,6752789.0,121.81
2020-07-13,124.13,PG,124.04,123.89,125.56,7681479.0,123.52
2020-07-14,124.0,PG,125.33,124.05,125.595,6272344.0,123.34
2020-07-15,123.99,PG,124.48,125.09,126.9,8145042.0,123.5
2020-07-16,125.98,PG,124.815,124.5,126.9,3959345.0,123.925
