date,axp,aapl,pg
2020-06-30,2217.7,1891.32375,2469.815
2020-07-31,2125.49,2087.3275,2740.07
2020-08-31,2090.34,2440.515,2844.58
2020-09-30,2066.84,2430.855,2892.81
2020-10-31,2192.845,2565.98,3104.845
2020-11-30,2248.14,2326.33,2807.02
2020-12-31,2676.56,2786.745,3025.63
2021-01-31,2544.76,2528.43,2566.81
2021-02-28,2690.99,2509.8,2436.9
2021-03-31,3513.7,2804.39,2956.74
2021-04-30,3204.4,2758.755,2841.28
2021-05-31,3208.01,2542.53,2728.7799999999997
2021-06-30,3478.74,2846.74,2954.83
