Step, Renta_acumulada, Predicciones
1, 0.0039568, 0.1430623
2, 0.0302563, 0.1748953
3, 0.0717824, 0.2365070
4, 0.1239958, 0.2529540
5, 0.1653245, 0.1996048
6, 0.2285255, 0.2871943
7, 0.2963769, 0.4192333
8, 0.3223562, 0.3465656
9, 0.4075237, 0.5563950
10, 0.4808668, 0.671407
11, 0.5553225, 0.775008
12, 0.6773437, 1.009621
13, 0.6421856, 0.739046
14, 0.8220920, 1.097406
15, 0.89304733, 1.143468
16, 1.08545900, 1.443616
17, 1.29597294, 1.745434
18, 1.51467207, 2.029379
19, 1.64926334, 2.093515
