,Step,Predicciones,Montecarlo
0,1,0.031563726810024305,0.14095917073505648
1,2,0.06943142554564755,0.1805663816047034
2,3,0.1189572534586886,0.24469274451114442
3,4,0.17205294548960273,0.26079319901140846
4,5,0.20529953798001324,0.20132810087670214
5,6,0.26580848845000715,0.2985986804434568
6,7,0.3291052084650187,0.4102786431536919
7,8,0.349879354568593,0.34940544924922795
8,9,0.43351083633189125,0.5544256842181519
9,10,0.4985234864662615,0.6804598366389844
10,11,0.5849288481646691,0.7847073571972166
11,12,0.7256169786460651,1.0039459266204924
12,13,0.6967249752510377,0.7469800316876526
13,14,0.8989651578981966,1.096554623064906
14,15,0.9857953532928148,1.1386930906849275
15,16,1.1969207424097845,1.4487410632289583
16,17,1.4330693740540656,1.7513961936729432
17,18,1.666452846647247,2.024247658687585
18,19,1.7844085187840735,2.09170645074108
