date,axp,aapl,pg
2020-06-30,536046405.0,3243603560.0,170836590.0
2020-07-31,432655798.0,3020454756.0,142770226.0
2020-08-31,319813829.0,4070343744.0,121961579.0
2020-09-30,390727873.0,3886793083.0,128869636.0
2020-10-31,325384466.0,2895317580.0,126555441.0
2020-11-30,333817605.0,2123372382.0,133957757.0
2020-12-31,272063132.0,2320531608.0,143265329.0
2021-01-31,318596751.0,2240876988.0,154862068.0
2021-02-28,229271724.0,1834022593.0,150958986.0
2021-03-31,399419120.0,2650845211.0,206513597.0
2021-04-30,288695123.0,1889956694.0,166857646.0
2021-05-31,245395070.0,1711935110.0,195358597.0
2021-06-30,344192475.0,1543328636.0,180516997.0
